DATAFLOW,LAST UPDATE,freq,unit,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-05,1999720,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-06,2220490,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-07,2047479,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-08,1809237,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-09,2295982,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-10,2158889,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-11,1986171,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-12,1816183,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-01,1712272,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-02,1757437,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-03,2092036,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-04,1980055,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-05,2268452,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-06,2142221,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-07,2099336,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-08,1868401,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-09,2261425,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-10,2088523,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-11,1940907,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2017-12,1621853,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-01,1614460,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-02,1684511,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-03,2017204,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-04,1991471,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-05,1999275,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-06,2044065,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-07,2000670,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-08,1862664,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-09,2218273,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-10,2248545,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-11,2115925,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2018-12,1828877,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-01,1670237,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-02,1740235,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-03,2030567,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-04,1966984,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-05,2168901,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-06,2031680,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-07,2004209,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-08,1805664,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-09,2130249,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-10,2103637,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-11,1857673,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2019-12,1672220,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-01,1519604,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-02,1478186,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-03,636539,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-04,27172,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-05,70897,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-06,189602,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-07,401009,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-08,420162,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-09,451544,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-10,356882,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-11,167819,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2020-12,170680,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-01,131216,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-02,119766,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-03,168026,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-04,175528,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-05,227368,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-06,328264,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-07,491689,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-08,537380,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2021-09,666834,
