DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2009-09,119174,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2009-10,125104,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2009-11,117793,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2009-12,122782,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-01,108912,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-02,101746,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-03,126520,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-04,97935,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-05,128140,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-06,130754,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-07,129154,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-08,119766,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-09,127002,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-10,129623,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-11,118631,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2010-12,118831,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-01,83200,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-02,63936,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-03,79928,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-04,71788,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-05,78515,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-06,73637,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-07,74570,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-08,71521,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-09,76528,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-10,71475,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-11,76390,
ESTAT:AVIA_PANA(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE_EDDB,2011-12,80348,
